id,location_name,sector,subsector,pollutant,emissions_quantity_tonnes,latitude,longitude,year
1377090,Mityana County,buildings,residential-onsite-fuel-usage,pm2_5,907.97,0.5082,32.0654,2024
1377101,Padyere County,buildings,residential-onsite-fuel-usage,pm2_5,906.66,2.4386,31.1627,2025
1376980,Bukooli County,buildings,residential-onsite-fuel-usage,pm2_5,906.01,0.4371,33.7844,2026
1377036,Kisoro County,buildings,residential-onsite-fuel-usage,pm2_5,905.44,-1.2026,29.674,2024
1377043,Kumi County,buildings,residential-onsite-fuel-usage,pm2_5,895.54,1.4567,33.9219,2025
1377101,Padyere County,buildings,residential-onsite-fuel-usage,pm2_5,890.06,2.4386,31.1627,2024
1377086,Mawokota County,buildings,residential-onsite-fuel-usage,pm2_5,889.3,0.1411,32.2618,2025
1376998,Kigulu County,buildings,residential-onsite-fuel-usage,pm2_5,886.41,0.7223,33.5007,2025
1377068,Bungokho County,buildings,residential-onsite-fuel-usage,pm2_5,885.98,1.0047,34.1972,2025
1377115,Kyotera County,buildings,residential-onsite-fuel-usage,pm2_5,885.61,-0.6277,31.5804,2025
1377100,Okoro County,buildings,residential-onsite-fuel-usage,pm2_5,885.0,2.5242,30.8912,2025
1377106,Aruu County,buildings,residential-onsite-fuel-usage,pm2_5,881.16,2.8899,32.8962,2025
1376987,Sheema County,buildings,residential-onsite-fuel-usage,pm2_5,878.12,-0.592,30.372,2024
1377033,Buyaga County,buildings,residential-onsite-fuel-usage,pm2_5,877.24,1.0013,30.7952,2024
1377103,Ruhaama County,buildings,residential-onsite-fuel-usage,pm2_5,876.08,-0.8918,30.4088,2024
1377035,Kiboga County,buildings,residential-onsite-fuel-usage,pm2_5,875.16,0.9875,31.7515,2025
1377089,Kassanda County,buildings,residential-onsite-fuel-usage,pm2_5,874.94,0.5334,31.7622,2024
1377116,Bufumbira County,buildings,residential-onsite-fuel-usage,pm2_5,874.61,-0.6154,29.8407,2025
1377066,Bunya County,buildings,residential-onsite-fuel-usage,pm2_5,870.31,0.3864,33.5356,2025
1377068,Bungokho County,buildings,residential-onsite-fuel-usage,pm2_5,869.75,1.0047,34.1972,2024
1376998,Kigulu County,buildings,residential-onsite-fuel-usage,pm2_5,869.01,0.7223,33.5007,2024
1377086,Mawokota County,buildings,residential-onsite-fuel-usage,pm2_5,865.34,0.1411,32.2618,2024
1377043,Kumi County,buildings,residential-onsite-fuel-usage,pm2_5,864.74,1.4567,33.9219,2024
1376995,Buhaguzi County,buildings,residential-onsite-fuel-usage,pm2_5,860.45,1.3028,31.0999,2024
1376968,East Moyo County,buildings,residential-onsite-fuel-usage,pm2_5,857.93,3.2383,31.7865,2025
1377100,Okoro County,buildings,residential-onsite-fuel-usage,pm2_5,857.43,2.5242,30.8912,2024
1377066,Bunya County,buildings,residential-onsite-fuel-usage,pm2_5,855.26,0.3864,33.5356,2024
1377115,Kyotera County,buildings,residential-onsite-fuel-usage,pm2_5,855.03,-0.6277,31.5804,2024
1377016,Bugabula County,buildings,residential-onsite-fuel-usage,pm2_5,852.56,1.0062,33.0701,2025
1376986,Ruhinda County,buildings,residential-onsite-fuel-usage,pm2_5,849.51,-0.6064,30.0071,2025
1050837,Kampala City council,buildings,non-residential-onsite-fuel-usage,pm2_5,848.8,0.3172,32.5898,2025
1050837,Kampala City council,buildings,non-residential-onsite-fuel-usage,pm2_5,846.37,0.3172,32.5898,2024
1376968,East Moyo County,buildings,residential-onsite-fuel-usage,pm2_5,844.32,3.2383,31.7865,2024
1377124,Serere County,buildings,residential-onsite-fuel-usage,pm2_5,842.55,1.4938,33.5648,2025
1377029,Usuk County,buildings,residential-onsite-fuel-usage,pm2_5,841.49,1.9735,34.0574,2025
1377011,Kalaki County,buildings,residential-onsite-fuel-usage,pm2_5,840.83,1.8325,33.3557,2025
1377116,Bufumbira County,buildings,residential-onsite-fuel-usage,pm2_5,839.93,-0.6154,29.8407,2024
1377035,Kiboga County,buildings,residential-onsite-fuel-usage,pm2_5,837.71,0.9875,31.7515,2024
1377106,Aruu County,buildings,residential-onsite-fuel-usage,pm2_5,836.51,2.8899,32.8962,2024
1377128,Kisoko (West Budama) County,buildings,residential-onsite-fuel-usage,pm2_5,836.34,0.7346,34.0371,2025
1377134,Aringa County,buildings,residential-onsite-fuel-usage,pm2_5,836.3,3.4924,31.2846,2026
1377075,Kazo County,buildings,residential-onsite-fuel-usage,pm2_5,831.38,0.0273,30.7515,2025
1377071,Bukanga County,buildings,residential-onsite-fuel-usage,pm2_5,831.19,-0.835,31.0016,2025
1377067,Bubulo County,buildings,residential-onsite-fuel-usage,pm2_5,826.57,0.8934,34.3349,2025
1377016,Bugabula County,buildings,residential-onsite-fuel-usage,pm2_5,823.42,1.0062,33.0701,2024
1376991,Kilak County,buildings,residential-onsite-fuel-usage,pm2_5,823.04,3.1306,32.1036,2025
1377125,Soroti County,buildings,residential-onsite-fuel-usage,pm2_5,820.29,1.7908,33.6061,2026
1376986,Ruhinda County,buildings,residential-onsite-fuel-usage,pm2_5,813.88,-0.6064,30.0071,2024
1377051,Kyoga County,buildings,residential-onsite-fuel-usage,pm2_5,810.2,1.6393,32.7859,2025
1377124,Serere County,buildings,residential-onsite-fuel-usage,pm2_5,808.75,1.4938,33.5648,2024
1377076,Mbarara Municipality,buildings,residential-onsite-fuel-usage,pm2_5,805.64,-0.6136,30.6543,2025
1377128,Kisoko (West Budama) County,buildings,residential-onsite-fuel-usage,pm2_5,801.13,0.7346,34.0371,2024
1377076,Mbarara Municipality,buildings,residential-onsite-fuel-usage,pm2_5,799.56,-0.6136,30.6543,2024
1377042,Bukedea County,buildings,residential-onsite-fuel-usage,pm2_5,797.93,1.3721,34.1414,2025
1377029,Usuk County,buildings,residential-onsite-fuel-usage,pm2_5,797.7,1.9735,34.0574,2024
1377067,Bubulo County,buildings,residential-onsite-fuel-usage,pm2_5,794.42,0.8934,34.3349,2024
1377005,Rubanda County,buildings,residential-onsite-fuel-usage,pm2_5,792.94,-1.2088,29.8883,2025
1377011,Kalaki County,buildings,residential-onsite-fuel-usage,pm2_5,790.36,1.8325,33.3557,2024
1376991,Kilak County,buildings,residential-onsite-fuel-usage,pm2_5,789.46,3.1306,32.1036,2024
