headword,pos,definition,clarifier,example_runyankore,example_english,section
akamoori,n,"an opening in the wall, especially on top of the window, which allows air in and out of the house.",ventilator,Ahaiguru y'edirisa hariho akamoori.,There is a ventilator above the window.,A
akamwenyo,n,an expression of happiness expressed on one's face.,smile,"Ku baamugambira amakuru marungi, yaagira akamwenyo ahamaisho.","When they told him the good news, there was a smile on his face.",A
akanaara,n,a device that helps to transmit sound in telecommunication equipment.,booster,Omu kyaro kyaitu harimu akanaara ka reediyo.,There is a radio booster in our village.,A
akanga-kaizi,n,"neither there nor here, just in between.",,Akagwa omu kanga kaizi.,He had no specific place.,A
akangara-teete,n,"to lead a hard life; staying outside with no shelte, living under harsh conditions.",to suffer,,,A
akangari,adj,a large number of things.,plenty,Eriizooba yaateeka akangari k'ebitakuri.,Today she has cooked a lot sweet potatoes.,A
akanono,n,the topmost part of the house.,tip of the roof,Bakatandikira aha kanono ku baabaire nibasheenya enju.,"When they were demolishing the house, they started from the top most part.",A
akanuriirizi,n,sweet taste.,,Akanuriirizi k'omu switi kagikundisa abaana bato.,The sweet taste in a sweet makes children like it.,A
akanwa,n,the opening in the face used for speaking eating etc.,mouth,,,A
akanwa kabi,adj,saying things that are rude or offesive.,foul mouth,,,A
akanwa kabi,adj,saying bad things which happen.,,,,A
akanyaiganja,n,"an animal with paws such, as a cat, lion, dog, leopard, e.t.c.",,,,A
akanyamakaakya,n,one of the plants from whose stems a walking stick is made.,,,,A
akanyampagara,n,poor quality bunch of banana.,,Endeeberera mbi y'orutookye neetuma rwateera obunyampagara.,Poor farming methods lead to poor quality bananas.,A
akanyampatiira,n,state of being over crowded.,,Akanyampatiira k'abantu tikaanyikiriza kureeba purezidenti.,I failed to see the president due to the presence of very many people.,A
akanyampira,n,a small insect that stings the eye when it falls there.,,,,A
akanyampiringita,n,something shorter ог smaller than others of the same type.,,Omukazi akazaara obwana bugufu bw'obunyampiringita.,A woman gave birth to short dwarf children.,A
akanyamuhebe,n,a small black and white bird with a long tail.,,,,A
akanyamukara,n,nut grass.,,,,A
akanyamukira,n,dung maggot.,,,,A
akanyamukira,n,a small amphibious creature that lives in water and developes into a frog.,tad pole,,,A
akanyamuniini,n,a fresh fried grasshopper.,,,,A
akanyamuntinda,n,small snail.,,,,A
akanyamurera,n,a musical instrument.,flute,,,A
akanyamwenyi,n,squirrel.,,,,A
akanyancooni,n,an undeveloped banana.,,,,A
akanyangarara,n,"a crack on a breakable item such as a door, glass, pot, calabash that lifespan is rendered uncertain.",crack,Enkyeka ey'akanyangarara otatamu amaizi.,Do not put water into the cracked calabash.,A
akanyankogote,n,an animal that walks slowly and can pull its head and legs into the shell on its back.,tortoise,Nkashutamira akanyankogote nkeetsire eibare.,I sat on the tortoise thinking it was a stone.,A
akanyantebo,adv,hitting someone with a kick.,,,,A
akanyarugondo,n,type of snake which is not poisonous.,,,,A
akanyarugondo,n,"spotted lizard found in sandy areas such as beaches, coasts or sand mines.",,,,A
akanyarukira,n,a black and white bird with a long tail.,,,,A
akanyarutookye,n,a type of bird commonly found in banana plantations.,lourie,,,A
akanyarutwe,n,,,,,A
akanyegyero,n,,,,,A
akanyiriri,n,a group of words that form one section in the Bible.,verse or line,,,A
akanyiriri,n,small line.,,,,A
akanyitsi,n,the minimum worth of something.,value,Ogwo mwenda otagunaga gukiinemu akanyitsi.,"Do not throw away that cloth, it still has value.",A
akanyoga,n,a banana in its early stages of development.,,,,A
akanyomo,n,a feeling of uncertainty. displeasure.,,,,A
akanyongotoko,adv,being over cooked or over ripe.,,"Ebihimba byasya akanyongotoko, tibyanura.","Beans were overcooked, they are not tasty.",A
akanyoomo,n,contempt.,,,,A
akanyoomoozano,n,continuous disturbance or provocation.,,,,A
akanyororo,n,"a tall, thin and slender person.",,,,A
akanyuunya,n,a type of grasshoppers which are not edible.,,Akanyuunya nikatamba kunyaara aha kitanda.,The non edible grass hoppers cure bed wetting.,A
akanyuunyambuzi,n,a type of weed eaten by goats. Ageratum Conyzoides.,,,,A
akanyuunyarume,n,shrub eaten by goats.,,,,A
akanywanisa,n,hyphen (-).,,,,A
akanywero,adj,a very tight cloth.,,Ajwaire empare y'akanywero.,He is putting on tight trousers.,A
akapampari,n,small piece resulting from much chipping.; (especially of machines) overused piece of metal.,,Egaari ye akagitomeza yaahinduka akapampari.,He crashed his bicycle and rendered it almost useless.,A
akapiira,n,"a thin rubber sheath that a man uses to cover his penis during sex, in order to prevent a woman from getting pregnant or for protection against sexually transmitted diseases.",condom,,,A
akapiira,n,"any ball game, e.g. football, netball, volleyball, basketball when refered to endearingly.",,,,A
akapimpiri,n,(of people) a short and small person.,dwarf,,,A
akaraba mw'ishengyero,phr,unintended interruption in a group.,,,,A
akaradaari,n,mustard seed.,,,,A
akaragarika,n,"a small fragment of bread or cake fallen under a table; that which has fallen e.g. leaves, grains, etc.",crumb,Oburagarika bw'omugaati.,Bread crumbs.,A
akaragariso,n,a broom used to clean a baking pot.,,,,A
akaragariso,n,a wiper.,,Naakoresa akatambaara k'omungaro nk'akaragariso k'ebigyere.,She uses a handkerchief to wipe her feet.,A
akaragwa,n,inherited trait.,,,,A
akaramata,n,a plant yielding red dye that can be made into ink.,goose grass,,,A
akaranda-rugo,n,a climbing plant that grows on fences.,,Akaranda-rugo aka kakuzire n'akokutema.,This climbing plant has over grown it needs trimming.,A
akarande,n,inherited character or trait.,,,,A
akarangizo,n,a raised place from where one can view a surounding area.,,Makanga n'akarangizo karungi k'orurembo Kabale.,Makanga is a good view of Kabale town.,A
akarebure,n,a slunderous utterance.,,,,A
akareega,n,a lingerie used to support a woman's breasts.,bra,,,A
akareega,n,a tool used to straighten spokes of a bicycle.,,,,A
akareesu,n,a piece of cloth especially used by women to wrap their shoulders or tied around the waist to cover the rest of the body.,,,,A
akaregyeya,n,a hanging flap of a skin on an animal's neck.,,,,A
akaregyeya,n,a small sixth finger on some people's hands.,dewlap,Ogwo mwojo aine akaregyeya aha ngaro.,That boy has a dewlap on his hand.,A
akareka,n,a vein under the tongue that causes impairment in speech.,tongue-tie,Omwana waaba otamushazire akareka tarikugamba gye.,"Unless you cut the vein under a child's tongue, he will get impaired speech.",A
akarenga-bazaana,n,time of day when the sun is almost setting.,dusk,Yaija omu karenga- bazaana.,He arrived at dusk.,A
akarengo,n,a small measurement especially of grain or fruits.,,,,A
akarengutuko,n,a steep slope.,,,,A
akarenzyo,n,sarcasm.,,Ka noogambisa akarenzyo.,You have a sarcastic tongue.,A
akarera-baana,n,,,,,A
akari,n,lust for sex.,,,,A
akaribareeta,n,something good that you get in addition to what you have paid for.,bonus,"Nkagura ekitabo, bampa akaribareeta.",I bought a book and was given bonus.,A
akarigime,n,having bad company.,,,,A
akarigime,n,immorality caused by peer pressure.,,,,A
akarigito,n,,,,,A
akariibe,n,peer pressure.,,Abaana bakabingwa ahabw'akariibe.,Students were suspended from school because of peer group.,A
akariigobe,adv,a way of posturing which reflects carelessness; way of sitting.,,Ku yaaherize kurya yaashutama yaateera akariigobe yaayebwa ngu ashemereire kukora emirimo endiijo.,"After eating he sat carelessly, forgetting that he had to do other chores.",A
akariigobe,adv,"kind of whistling where lips are pressed between hands, and the breath forced through fingers to emit sound.",,,,A
akariinyiriro,n,pathway for riding or sliding especially using wooden or banana trees.,,,,A
akariinyiro,n,,,,,A
akarimi,n,a minute or hour hand.,,Akarimi k'eshaaha kafiire.,The minute hand of the clock does not work.,A
akarimi,n,a small tongoue.,,Enjoka eine akarimi kakye.,A snake has a small tongoue.,A
akarimi,adj,"way of talking, e.g. sweet-talking or lying.",,,,A
akarimi,,toung will lead you into trouble.,,,,A
akarimi,,pleading on behalf of someone.,,Nterayo akarimi.,Please plead for me.,A
akarimi,n,a nib.,,,,A
akarindi,n,,,,,A
akarindi,n,a small handle of a machete or knife.,,,,A
akarogoijo,n,anxiety: to be extremely worried or excited.,anxiety,,,A
akarondo,n,lineage.,,Omushaija akarondoora akarondo k'obuzaare bwabo.,A man traced the lineage of their relationship.,A
akarongyero,n,a hole on the side of a pit where they smoke bananas to ripen.,,Ebitookye byangye byangire kusya ahabw'okuba tindateire karongyero aha rwina.,My bananas have not ripened because I did not put a hole hole next to the pit.,A
akarooro,n,a wingless insect found on hens.,,,,A
akarugu,n,one of the corners of the house.,,,,A
akarundirundi,n,a rod of a bicycle that holds a pedal.,,Omwojo akatsindika egaari ahabwokuba ekaba etaine karundirundi.,The boy pushed the bicycle because it did not have a pedal rod.,A
akarungi,adj,"something good, or beautiful.",,Kaaro karungi.,A beatiful village.,A
akaruuru,n,elections.,,,,A
akaruuru,n,a vote.,,,,A
akarwariro,n,a clinic.,,Omu kyaro kyaitu harimu akarwariro akakye kamwe.,There is only one clinic in our villge.,A
akasheeshe,n,the period from the day break up to around 11am.,,,,A
akashorya,n,part of the structures that make the roof of a house.,,Omuyaga gw'amaani munonga guhuuhire gwatwara akashorya k'enju.,A strong wind blew off the apex of the roof.,A
akashutamo,n,a customs post: a border crossing associated with tax collection for countries.,a customs post,,,A
akashuumo,n,a steep slope.,,,,A
akasikina,n,hiccup: a sharp repeated sound in the throat caused by a sudden movement of the diaphram.,hiccup,,,A
akasirimuko,n,,,,,A
akasooroora,n,strong wind which moves in circular motion when there is an imbalace in the atmospheric pressure.,,,,A
akataahira,n,a young jigger that has just entered a person's body.,,Akataahira akamutaahire omu kigyere nikamusaasa.,The young jigger which entered his foot is paining him.,A
akatabarwa,n,"trillion: one of the cardinal numerals represented by 1, followed by 15 zeros ""1,000,000,000,000,000.",trillion,,,A
akatare,n,market: a place where goods and services are sold and bought.,market,,,A
akatare,n,a high demand for goods and services.,,Ebicoori biine akatare ebi biro.,Maize have a high demand these days.,A
akatembo,n,a steep hill or road.,,,,A
akatiina-mugogo,n,a kind of rodent black in colour and having a long bushy tail which climbs and runs on banana leaves. a squirrel.,,,,A
akatima,n,valve for a tyre.,,,,A
akatima-kakye,adv,inability or failure to resist temptation.,,Esente ezo otazireka aha meeza ow'akatima kakye naija kuzitwara.,"Do not leave that money on the table, someone who may not be able to resist temptations can pick it.",A
akatimba,n,a mesh is used to fence.,,Bazitiize ekiju ky'enkoko akatimba.,The chicken's house was fenced with wire mesh.,A
akatimba,n,"net: an open mesh material made of twine, code, rope usually typically for catching fish or trapping animals or birds.",net,Bategire ekitimba omu ihamba kukwata enyamaishwa.,They laid a net in the forest to trap animals.,A
akatimba,n,"wedding gown, dress.",,,,A
akatindi,n,a small hut.,,,,A
akatogo,n,African: a dish or type of food prepared by mixing food with sauce.,African,Akatogo k'emondi zitahaasire n'ebihimba kanuzire munonga.,A mixed meal of unpealed irish potatoes and beans is very deliciuous.,A
akatogo,n,a mixture or a combination of many different things.,,"Ku naagiire kutaahamu, naashanga kari akatogo k'Abatooro, Abakiga hamwe n'Abanyankore.","When I entered I found it was a mixture of Batooro, Bakiga and Banyankore.",A
akatonera,n,,,,,A
akatoonyezo,n,full stop or period: a dot that indicates the end of a sentence.,full stop or period,,,A
akatsintsimuko,n,a sloppy place.,,,,A
akatsirimuko,n,a gentle slope: a gentle slope along the road or path.,a gentle slope,Akatsirimuko aka ni karungi k'abavugi b'egaari.,This gentle slope is good for cyclists.,A
akatuyo,n,stench: a distinctive smell that is produced by rotten things.,stench,,,A
akaveera,n,plastic sheeting.,,,,A
akavugankande,n,creeping plant: a plant that creeps on other plants in the bush and covers a wide area.,creeping plant,,,A
akavumba,n,offals of a pig: internal organs of a pig.,offals of a pig,,,A
akavuruga,n,,,,,A
akavurugye,n,confusion: a state of disorder that results into inability to think clearly or to know what to do.,confusion,Okufa kwa ishebo kukareeta akavurugye omuka yaabo.,The death of their father brought total confusion in their home.,A
akavurugye,n,"eye cataract: a disease which, if not treated early results into a white spot in the eye.",eye cataract,,,A
akayengo,n,small basket: a small weaved container made for carrying or measuring things.,small basket,Maama ampaire akayengo k'oburo.,My mother gave me millet in a small basket.,A
akaze,n,habbit: something that you do often and is normally hard to stop.,habbit,,,A
akazoore,n,madness: a condition that is associated with mental illness.,madness,,,A
akeediimo,n,a strike: an organised boycott.,a strike,"Bakongeza ebishare by'eishomero, abaana baakora akediimo kumara esande yoona.",They increased school tuition and students went on strike for a week.,A
akeerenguturo,adv,emptying a container by gulbing its contents.,,,,A
akooya,n,the act of eating food when one has not done anything to deserve it.,,Eriizooba waariira akooya.,Today you have eaten but you did not contribute anything.,A
Allah,n,God in Islamic religion.,,,,A
amaani,n,"power, strength: being healthy; having energy to do something.","power, strength",,,A
amaarwa,n,beer: an alcoholic drink.,beer,,,A
amabano,n,the end of the arrow used to put a wire or a coil.,,,,A
amabara,n,spots of different colours.,,Njweire esaati y'amabara maingi.,I am wearing a multi coloured shirt.,A
amabwabwa,n,dog teats.,,,,A
amacanda,n,sunflower: plants with yellow flowers that produce edible seeds rich in oil. Helianthus_Annuus.,sunflower,Amacanda ni kimwe aha bintu ebirikukorwamu buto.,Sun-flower is one raw material of cooking oil.,A
amacunda,n,milk that remains after ghee has been extracted.,,,,A
amacwa,n,,,,,A
amacwante,n,saliva: the fluids in the mouth.,saliva,,,A
amadaara,n,ladder.,,,,A
amadaara,n,staircase.,,,,A
amadaraka,n,being stylish.,,,,A
amafa,n,a period of severe famine.,,Omushana gukajwa gwasiga amafa omu kyaro.,Drought left much famine in the village.,A
amafakubi,n,faeces: waste from the body of human beings.,faeces,,,A
amafaranga,n,Rwandese currency.,,,,A
amafura,n,hospitable people.,,,,A
amagaari,n,,,,,A
amagana,n,"used to refer to many things, usually more than one hundred.",,Taata aine amagana ana g'embuzi.,My father has four hundred goats.,A
amaganga,n,cattle urine: waterly animal excrete that is discharged through the urethra.,cattle urine,,,A
amaganya,n,"sorrow: a feeling of distress or sadness as a result of deep loss, disappointment or calamity.",sorrow,,,A
amagara,n,"life or health: the ability to produce, grow new forms that distinguishes living animals and plants from dead ones and rocks.",life or health,,,A
amagarama,n,the stage in the growth of beans when it has about three leaves.,,,,A
amagezi,n,"knowledge: the information, understanding and skills that a person has acquired through experience or education.",knowledge,Omwana muto taine magyezi g'okutaanisa ekibi n'ekirungi.,A baby has no knowledge of good and bad.,A
amagingo,n,time: any time of day or night.,time,"Amagingo aga, barahi?",Where are they at this time.,A
amagoba,n,profits or interests.,,,,A
amagondo,n,spots.,,Ente yangye y'amagondo ebuzire.,My spotted cow is lost.,A
amagyani,n,"tea leaves: a plant whose leaves are harvested, ground and put in hot water to be drunk as a beverage.",tea leaves,,,A
amahaane,n,"conflicts, intrigues, etc.",,,,A
amahame,n,facts: matters of the heart.,facts,,,A
amahanga,n,countries or nations.,,,,A
amahanga,n,different peoples or tribes.,,,,A
amahanga,n,a place described to be at a distance.,,,,A
amahano,n,,,,,A
amahasha,n,two children born at the same time to the same mother.,twins,,,A
amahaze,n,doing something that is against one's culture and tradition.,abomination,Bahemuka akozire amahaze g'okuhamba nyina.,Bahemuka comitted an abomination by raping his mother.,A
amahega,n,three stones used in cooking using firewood.,cooking stones,,,A
amahembe,n,the spiritual powers that are believed to inflict harm or death on someone.,witcraft,,,A
amahenda,n,fully grown tall millet with big and wide fingers.,millet,,,A
amahene,n,an excuse used to deny somebody something.,,,,A
amahenehene,n,a disease that attacks ankle joints causing immobility.,,,,A
