headword,pos,definition,clarifier,example_runyankore,example_english,section
okugoba,v,to win a game.,,,,O
okugobooza,v,to make repeated efforts to induce a mlking cow to let down milk.,,,,O
okugobora,v,to make the cow get used to its calf and suckle it.,(of a cow which has rejected its calf),,,O
okugoboroza,v,to barely make a profit on a commodity.,,,,O
okugoboza,v,to suckle.,(of puppies),,,O
okugobwa,v,to fail to speak (usually as a result of severe sickness).,,,,O
okugoga,v,to walk majestically.,,,,O
okugogonora,v,to wake up somebody from deep sleep especially in the morning.,,,,O
okugogoora,v,to remove fresh fibres from the stem of a banana plant.,,,,O
okugogoza,v,to treat someone (usually a child) with too much love.,,,,O
okuganyira,v,,,,,O
okugogyera,v,to be in a peaceful state.,,,,O
okugoma,v,to refuse to change one's attitude; to be rebellious,,,,O
okugomba,v,to have a strong wish to eat something,to crave for something,,,O
okugomberera,v,to have a desire for something for a long time,,,,O
okugombooka,v,to eat something that one has always wanted until one feels one does not want it anymore,,,,O
okugomeererwa,v,to have constipation,,,,O
okugomera,v,to control the flow of running water using clay or soil,,,,O
okugomoka,v,to become fat or to increase in size,,,,O
okugomooka,v,to renounce rebellion; to surrender,,,,O
okugomoora,v,to change a person's behaviour from bad to good,to transform,,,O
okugomora,v,to fatten a person or animal,,,,O
okugona,v,to snore,,,,O
okugonda,v,"to be calm, peaciful and quiet",to be soft or supple,,,O
okugorogora,v,to be weak and sickly,,,,O
okugoromba,v,to be useless when one is no longer useful after being redundant for a long time,,,,O
okugoromoka,v,to be groomed or undergo behavioural change,,,,O
okugoromoka,v,"to disappear, said of the Bacwezi",,,,O
okugoromora,v,to put something in a convenient place until until it is needed,,,,O
okugosa,v,to behave badly or in an unacceptable manner,,,,O
okugoshoora,v,to separate grains from chaff,winnow,,,O
okugota,v,to come to a standstill,,,,O
okugota,v,to besiege or surround a place or a person,,,,O
okugotomera,v,to drink fast,,,,O
okugotomera,v,to gulp down a drink,,,,O
okugoya,v,to mingle (e.g. millet flour) to make solid food,,,,O
okuguba,v,to be extremely dirty after being poorly cleaned for a long time,,,,O
okugubuura,v,to clean something that has been extremely dirty,,,,O
okugondama,v,state of being bent or curved,,,,O
okugubwa,v,to feel emotional as a result of something,,,,O
okugufuhara,v,to become short,,,,O
okuguga,v,to bite a small piece from something big,,,,O
okuguguna,v,"to nibble at something hard, e.g. a bone, corn, etc",,,,O
okugonga,v,to cry when they are hungry,,,,O
okugonga,v,to complain or say that you are not satisfied with something,,,,O
okugongyera,v,to yell or moan (as when one is in utter pain),,,,O
okugonjoka,v,to excel in doing something,,,,O
okugonjoora,v,to correct a mistake,,,,O
okugonoora,v,,,,,O
okugonooza,v,to take a drink after a meal,,,,O
okugonya,v,to bend,,,,O
okugonya,v,to be malleable,,,,O
okuguguza,v,to walk with difficulty while carrying something heavy,,,,O
okuguha,v,to collect fire from a neighbour,,,,O
okuguha,v,to make a fire from burning coals or embers,,,,O
okuguma,v,to be firm or confident,,,,O
okuguma,v,to stay in one place for a long time,,,,O
okugumaanya,v,to endure,,,,O
okugumba,v,a kind of silence that commands respect,to keep quiet,,,O
okugumba,v,to move in an unstable way while shaking,,,,O
okugooka,v,to work for nothing,,,,O
okugooma,v,to be deformed or to lose the original shape,,,,O
okugootaana,v,to become disorganised or messed up,,,,O
okugootooka,v,to work very hard,,,,O
okugoragora,v,to bring someone up to be a well behaved individual,,,,O
okugoragoza,v,to be linient or patient with someone so that he or she can improve or do better,,,,O
okugorama,v,,,,,O
okugoreka,v,to show modest opinion of one's importance,,,,O
okugorogooza,v,to try to reverse the misfortunes associated with being bewitched,,,,O
okugumba,v,invulnerable to danger or intimidation; able to face danger or fear without flinching,to be brave,,,O
okugumbika,v,to sit quietly while doing nothing and trying to look important,,,,O
okugumirwa,v,to go through a difficult time,,,,O
okugumisiriza,v,to be patient,,,,O
okugumisiriza,v,to persevere or accept suffering without complaining,,,,O
okugumizamu,v,to move on; to continue doing something,,,,O
okugumya,v,to encourage or comfort someone,,,,O
okuguna,v,to be stunted: not growing properly,,,,O
okugundiira,v,to withhold something from someone,,,,O
okugunduuka,v,to eat something and get satisfied with it,,,,O
okugunduura,v,to beat somebody heavily especially in a fight,,,,O
okugunduura,v,to be mature or show characteristics of old age,,,,O
okugunga,v,to refuse to sleep with a woman,,,,O
okugungira,v,to block the way,,,,O
okugungira,v,to build an embarkment or dam to stop the flow of water,,,,O
okugunja,v,"to compose songs, epics, poems, etc",,,,O
okugunjuka,v,to be civilised: to behave in a polite and reasonable way,,,,O
okugunjuka,v,"to be educated, civilised or trained",,,,O
okugunjura,v,to train someone in something,,,,O
okugunura,v,to open eyes widely,,,,O
okugura,v,to obtain a goods or services in exchange for payment,to buy,,,O
okuguraagurutsya,v,to doubt,,,,O
okuguraguruka,v,to be unstable or change often,,,,O
okuguriirira,v,to pay money to someone to do something on your behalf,,,,O
okuguriirira,v,to bribe someone with money or a gift in order to get favours from him or her,,,,O
okuguru,n,the limb on which a person or animal walks or stands,,,,O
okuguruka,v,to jump,,,,O
okuguruka,v,to rise up early in the morning and go,,,,O
okugurukibwa,v,to be scared or frightened by something,,,,O
okugurukira,v,to jump at something,,,,O
okugurukira,v,to surprise someone with an unexpected tackle or move,,,,O
okugurukyera,v,to make an unexpected tackle,,,,O
okugurumba,v,to feel sad and depressed,,,,O
okugurutsya,v,to refuse to give milk,,,,O
okugurutsya,v,to chase something e.g. birds,,,,O
okuguta,v,to beat someone or something,,,,O
okugutuka,v,to die suddenly when one is not sick,,,,O
okugutuka,v,,,,,O
okuguubwa,v,to become emotional over something good or bad,,,,O
okuguugura,v,to live long beyond the expected lifespan,,,,O
okuguuriima,v,to be rebelious,,,,O
okuguutuura,v,to use idioms and sayings,,,,O
okuguuyaguuya,v,to feel a lot of discomfort after eating a lot of food,,,,O
okuguuza,v,to stubbornly refuse to do something,,,,O
okuguza,v,to give someone goods or services in exchange for money,to sell,,,O
okuguza,v,to borrow (usually money),,,,O
okuguza,v,to lend to someone money expecting him or her to pay it back,,,,O
okugwa,v,to fall down or to drop suddenly,,,,O
okugwa,v,not being able to succeed in doing something,to fail,,,O
okugwa-aha-mahega,phr,to stay for a long time without getting married,,,,O
okugwa-ebyaga,v,"to fall and lose one's senses, speech or does things he or she is not aware of as a result of being demon possesed",,,,O
okugwa-empihi,v,having a disorder in the stomach as a result of poor digestion of food,to experience indigestion,,,O
okugwa-enshazi,n,a temporary loss of consciousness,to black out,,,O
okugwagwana,v,to be in an unfriendly state; to be miserable,,,,O
okugwagye,v,to feel good,,,,O
okugwagye,v,to be confortable or satisfied with what one has,,,,O
okugwaho,v,to find or attack someone (e.g. a thief) after a long search,,,,O
okugwa-kihuumura,adv,to fall involuntarily in shock,,,,O
okugwa-kihuumura,v,to faint or pass out as a result of shock,,,,O
okugwana,v,to pay back what one owes,,,,O
okugwana,v,to balance or be equal in value,equality,,,O
okugwa-omunda,v,"the act of embracing or hugging someone to show affection, happiness during greeting",,,,O
okugwejegyera,v,to fall asleep,,,,O
okugwengagwenga,v,to flatter someone,,,,O
okugwera,v,to fall on someone or something,,,,O
okugwera,v,to waylay someone,,,,O
okugwera-orubaju,v,to side with someone,,,,O
okugwera-orubaju,v,to be partial; not objective,,,,O
okugwererana,v,to stagger as when under the influence of alcohol,,,,O
okugwererwa,v,to be in a situation where one experiences a misfortune,,,,O
okugwihanamu,v,to walk or move together,,,,O
okugwisa,v,to cultivate a portion of the garden one is supposed to dig up to the end,to finish or complete a task e.g.,,,O
okugyega,v,to fool someone,,,,O
okugyegyema,v,to creak (e.g. a bed),,,,O
okugyegyema,v,to produce croaking or high pitched sound,,,,O
okugyegyena,v,to filter,,,,O
okugyegyeza,v,to create a problem for someone,,,,O
okugyema,v,to make somebody to do something against his or her will,to compel,,,O
okugyema,v,to immunise,,Abeebembezi b'eihanga bakehanangiriza abazaire kutwara,,O
okugyemeka,v,to grow,of seeds,,,O
okugyemura,v,to take food or milk to someone (usually in hospital),,,,O
okugyenda,v,to go away,to leave,,,O
okugyenderera,v,to do something intentionally,,,,O
okugyenga,v,to repair in a haphazard manner something that has been damaged,,,,O
okugyenga,v,to bone-set compound fractures that is done traditionally,,,,O
okugyengyera,v,"to advise, or counsel",,,,O
okugyenya,v,to treat someone with respect,,,,O
okugyenya,v,to be hospitable towards someone,,,,O
okugyenzya,v,to measure or to weigh,,Omukazxi akaba naagyenzya amate gaayatika.,The woman was measuring milk and iot poured.,O
okugyera,v,to become very ripe and very sweet,of fruits,,,O
okugyeragyeranisa,v,to compare onr thing with another,,,,O
okugyerega,v,to make a mocking or ironic remark,to be sarcastic,,,O
okugyerega,v,to redicule someone,,,,O
okugyereka,v,to levy tax,,,,O
okugyereka,v,to put something on top of another thing,,,,O
okugyeruura,v,to reduce the tax levied on something,,,,O
okugyeruura,v,to remove something that has been placed on top of another thing e.g in food cooked in the same saucepan,,,,O
okugyesha,v,to reap or to harvest,,,,O
okugyeza,v,to put someone or something to test e.g. through a test or examination,,,,O
okugyeza,v,to moisten something that is dissolvable,,Okugyeza omwenda omu maizi.,To moisten a cloth with water.,O
okugyezaho,v,to put in more effort into doing something,to try,,,O
okuha,v,to give,,,,O
okuhaaga,v,to be satisfied,,,,O
okuhaaha,v,"to disparage, abuse or despise",,Bakamuhaaha munonga yaaruga omu kibiina kyabo.,They disparaged him so much that she left the club.,O
okuhaahaana,v,to harass,,,,O
okuhaahagira,v,"to breathe very fast, usually after running a long distance",,,,O
okuhaahura,v,to go searching for something all over the place,,,,O
okuhaahuuza,v,to squeeze something from something,,,,O
okuhaahuuza,v,to sway while walking,,,,O
okuhaajana,v,to argue or haggle over something,,,,O
okuhaamuuka,v,to lose fertility as a result of overcultivation,,,,O
okuhaanisa,v,to exchange something for another,to barter,,,O
okuhaanya,v,to pluck feathers from a bird,,,,O
okuhaanyura,v,to pluck something e.g. feathers from a chicken,,,,O
okuhaanyuza,v,to run or walk fast,,Enjura ku yaahikire omukaikuru yaahanyuza arikuronda ah'okwegama.,,O
okuhaasa,v,to insist on doing something one has been told not to do,to be adamant,,,O
okuhaasa,v,to insist on doing something,,,,O
okuhaasirira,v,to purify or cleanse,,,,O
okuhaata,v,to peel,,,,O
okuhaatiika,v,to compel or force someone to do something,,,,O
okuhaazya,v,to finish milking,,,,O
okuhaba,v,to go astray or lose direction,,,,O
okuhababa,v,to report a case to police or other authority,,,,O
okuhababa,v,to sue someone in the courts of law,,,,O
okuhabura,v,to advise,,,,O
okuhabura,v,to guide or direct,,,,O
okuhaburira,v,to cut the dry leaves from the banana plant,,,,O
okuhaburira,v,remove unwanted plants from the banana plantation,to prune,,,O
okuhabuuka,v,to find the way,,,,O
okuhabuza,v,to ask for direction,,,,O
okuha-emikono,v,to help or encourage someone who is doing a task or going through a difficult situation,to support,"Obu yaabaire naayombeka enju, abantu bakamuha emikono.","When he was building his house, people gave him support.",O
okuha-engata,v,to contemptuously cast a person out or show him or her the door,,,,O
okuhaga,v,to cause to increase undully or to fill with gas,to inflate or swell,,,O
okuhaga,v,to instigate someone to do something,,,,O
okuhagama,v,to be stuck in the teeth or the throat,choke,,,O
okuhagara,v,to make a tool sharp,to sharpen,,,O
okuhagara,n,to disparage,to desectate,,,O
okuhagara,n,to be of degenerate character,,,,O
okuhagatira,v,to carry (e.g. a baby) under the arm,,,,O
okuhagika,v,to side with someone especially when he or she has done something wrong,,,,O
okuhagira,v,to support someone or his or her cause,,,,O
okuhaguka,v,to become detached,,,,O
okuhagura,v,to force something off another thing it was attached to,,,,O
okuhaguura,v,to take cows a distance away to look for salty water especially near a hot spring,,,,O
okuhaha,v,"to start or mark the beginning of the journey, an activity, a plan, race, etc",,,,O
okuhaha,v,the process or an act of starting,,,,O
okuhaha,v,to panic,,,,O
okuhahaara,v,to panic or become nervous,,Akahaahaara ari omu kigyezo ebi yaabaire ashomire byamweba.,He panicked in an examination and forgot all that he had read.,O
okuhahaaza,v,to make someone panic or nervous,,,,O
okuhaiga,v,to dig up (e.g potatoes) from the soil,,,,O
okuhaima,v,to fall sick as a result of an asthmatic attack,,,,O
okuhaima,v,to experience difficulty in breathing,,,,O
okuhaisa,v,to praise,,,,O
okuhaka,v,to be pregnant,of animals,,,O
okuhakana,v,,,,,O
okuhakanisa,v,to contradict,,,,O
okuhakanisa,v,to disagree with someone's view or opinion,,,,O
okuhakuura,v,to draw out or extract e.g. honey from a hive,,Bakahakuura obwoki bwingi omu kihumi.,They extracted a lot of honey from the bee hive.,O
okuhakwa,v,to live under the patronage of someone: to work for others especiallyin order to get accomodation and food,,"Eira n'eira, Abairu bakaba bakira kuhakwa omu Bahima.","Long time ago, the Bairu used to work for the Bahima.",O
okuhamagira,v,,,,,O
okuhamatika,v,"to fasten, stick or paste",,,,O
okuhamba,v,to rape,,Bakamutwara omu mbuga z'amateeka kujunaanwa omushango gw'okuhamba.,He was taken to court to answer charges of rape.,O
okuhamba,v,to take over or capture by force,,,,O
okuhamba,v,to force by way of climbing,,,,O
okuhambaara,v,to accuse someone unjustly of stealing,,,,O
okuhambaarira,v,,,,,O
okuhambaarwa,v,,,,,O
okuhambaituka,v,to do something unexpectedly e.g. buying something one has not planned to,,,,O
okuhambya,v,"to catch up with someone, when people have been running, one ahead of the other(s), and they catch him",,,,O
okuhambya,v,to seize or get hold of,,,,O
okuhamibwa,v,to be confirmed into position or appointment,,,,O
okuhamira,v,to stick on something,,,,O
okuhamisiriza,v,"to stress a point, etc",,,,O
okuhamisiriza,v,to encourage or reassure someone who is sick or discouraged,,,,O
okuhamiza,v,to assure someone or reaffirm that what one has said is true,,,,O
okuhampuka,v,to elope,of a girl,,,O
okuhampura,v,to elope,of a man,,,O
okuhampuza,v,to dess in un improper way or unacceptable way,,,,O
okuhampuza,v,to be indecent,,,,O
okuhamya,v,to confirm or to be sure that something is true,,,,O
okuhana,v,to rebuke or correct someone,,,,O
okuhana,v,to talk to a child to change his or her behaviour,,,,O
okuhanahanurwa,v,to do something one does not know to find out what will happen,of children,,,O
okuhanahanurwa,v,to experiment with something through play,,,,O
okuhanama,v,,,,,O
okuhanantuka,v,to fall from something e.g. a tree in an abrupt or dangerous way,,,,O
okuhanantuka,v,to do something suddenly and unexpectedly,,,,O
okuhananuka,v,"to do things stubbornly without anybody's consent, or without control over one's actions",,,,O
okuhananurwa,v,to act like a prig: to behave as if one is morally superior to everyone else and disapproves of what others do,,,,O
okuhanda,v,to become rough,,Omubiri gw'ekikyere niguhanda.,A frog's skin is very rough.,O
okuhanda,v,untouchable,,,,O
okuhanda,v,to grind cereals leaving some rough particles in the flour,,,,O
okuhanda-bunaku,v,to work hard: to put a lot of energy into an activity without showing any signs of weakness,,,,O
okuhandagatana,v,to say a lot of things that do not make sense,,,,O
okuhandama,v,to climb or to jump on something,,Ku naabaire ninvuga egaari omwana yaagihandamaho.,When I was riding a bicycle a boy jumped on it.,O
okuhandiika,v,to write: to put down letters or numbers,,,,O
okuhanduura,v,to remove something especially removing a jigger from a foot,,omwana ogu bamuhanduramu enzito mukaaga omu kugyere kimwe.,they have removed six jiggers from this childs foot.,O
okuhanduura,v,to strain oneself as a result of standing for a long time and by the time,,,,O
okuhanga,v,to create,,Ruhanga akahanga igiru n'ensi.,God created heaven and earth.,O
okuhanga-amaisho,v,to fix one's eyes on someone or something without blinking,to stare,,,O
okuhangaana,v,to help or give support to someone,,,,O
okuhangaara,v,to live long,,,,O
okuhangahanga,v,to be creative,,Omwana naamanya okuhangahanga.,The child knows how to create songs.,O
okuhanganga,v,to starve or go hungry,,,,O
okuhanganirwa,v,to have difficulty while giving birth or when the after birth fails to come out,,Omukazi yaaherize kuzaara yaaremwa kuhanganirwa.,"After the woman gave birth, the afterbirth failed to come out.",O
okuhangara,v,to take long to get married,,,,O
okuhangirira,v,to support by bearing all or part of the weight or burden of somebody,,,,O
okuhangirira,v,to fix or mend,repair,,,O
okuhangisa,v,to be very fond of something,,,,O
okuhanguha,v,to grow fat or to become big,,,,O
okuhanguka,v,to come unexpectedly,,,,O
okuhangura,v,,,,,O
okuhangura,v,to win or overcome something,,,,O
okuhangusya,v,to widen or to enlarge,,,,O
okuhanguuka,v,to become archaic,,,,O
okuhanguuka,v,to become unfashionable,,,,O
okuhanguura,v,to expire or get out of style or out of fashion,,,,O
okuhanika,v,"to raise something e.g. prices, a flag, etc.",,,,O
okuhanika,v,to hang (e.g. clothes on a wire),,,,O
okuhanika,v,to put bananas in a pit so that they can rippen,,,,O
okuhanuura,v,to discuss something or to deliberate on,,,,O
okuhanvuura,v,to defaecate,,,,O
okuhanzya,v,to feed,,,,O
okuhara,v,to scratch,,,,O
okuharaatura,v,to scratch the surface of something with a sharp or pointed object,,,,O
okuharaatwa,v,to play about,,,,O
okuharabagana,v,the state or condition in which a sick person is not expected to survive,to be in a critical condition,,,O
okuharabura,v,to scratch something by dragging it along a rough surface,,,,O
okuharagata,v,to remove the surface layer off something using a sharp object,to scrap,,,O
okuharahaaza,v,to make someone restless or to give someone hard time,,,,O
okuharahara,v,to make an attempt or effort,,,,O
okuharamba,v,,,,,O
okuharambura,v,to do shoddy work or to do something in a hurry and do it poorly,,,,O
okuharana,v,to dislike someone and mistreat him or her as a result,,,,O
okuharangatana,v,to dislike each other intensely,,,,O
okuharara,v,,,,,O
okuhararuka,v,to lose interest in something,,,,O
okuhararuka,v,to get used to something to the extent that it no longer excites you,,,,O
okuharaza,v,to be proud of something or someone,,,,O
okuhariiriza,v,to force someone to do something,,,,O
okuharika,v,to marry a second wife adding her to the first one,,,,O
okuharira,v,to crave for something,,Bakanga naaharira abaishiki.,Bakanga is lustful for girls.,O
okuhariza,v,to act like a lunatic,,,,O
okuharura,v,to drag or force someone to do something against their will,,,,O
okuharura,v,to pull something with force,,,,O
okuhasha,v,to give birth to twins,,Okuhasha kwine emigyenzo mingi.,Giving birth to twins has many traditional customs that go with it.,O
okuhasha,v,to feel a shooting pain in the back or upper part of the body,,,,O
okuhashana,v,to grow while joined together,,,,O
okuhashanuura,v,to split or separate twin plantains,,,,O
okuhashanuura,v,to perform rituals at the initiation of twins one week after their birth,,,,O
okuhatika,v,to insert something into another,,,,O
okuhatuura,v,to pull or get something out of a congested place using force,,,,O
okuhayana,v,to compete,,,,O
okuhaza,n,to be disobedient or refuse to comply with someone's wishes or orders,,,,O
okuheba,v,to get something out of one's mind,,,,O
okuheba,v,to give up on something,,,,O
okuhebeba,v,"to speak with sudden pauses and with a tendency to repeat the same sound or syllable, because of having a speech impairment, fear, excitement, etc.",to stammer,,,O
okuhebeba,v,to scream while mating,,,,O
okuhebebera,v,,,,,O
okuhebesereza,v,to do something beyond acceptable limits,,,,O
okuhebya,v,to go beyond the limits of what is expected of you,,,,O
okuheegaheega,v,to walk while staggering because of being very tired,,,,O
okuheeheeta,v,to woo a woman,,,,O
okuheeheeta,v,to express the desire to have sex with a woman,,,,O
okuheeka,v,to carry a baby on the back,,,,O
okuheeka,v,to form cobs on the maize plant,,,,O
okuheekuura,v,to kill a person,,,,O
okuheekyera,v,to take up arms to fight an established government,,,,O
okuheekyerera,v,to carry a child on the back all the time,,Omukazi ogu taine eki akukora ahabw'okuheekyerera omwana.,This woman cannot do any work because she is ever carrying a baby on her back.,O
okuheekyerera,v,to carry all kinds of luggage,,Akaba naahumuruka yaahekyerera ebintu bingi.,"When he was going back to school, he carried a lot of luggage.",O
okuheera,v,to push a child during delivery,,Omukazi akaremwa kuheera omwana baamushara.,The woman failed to push out the baby and she was operated.,O
okuheera,v,to pay school fees for someone,,,,O
okuheerereza,v,to set a dog onto somebody,,,,O
okuheereza,v,to give,,,,O
okuheereza,v,to serve: to do a job or perform duties for a person,,,,O
okuheesha,v,to forge and shape iron with a hammer and anvil,of a blacksmith,Omu kyaro kyona Muheesi niwe arikumanya kuheesha amacumu.,"In the whole village, only Muheesi knows how to make spears.",O
okuhegyeya,v,to walk slowly and in an elegant way,,,,O
okuheha,v,to clean after passing stool,,,,O
okuheheeza,v,to hide a pregnacy by contracting the stomach,,,,O
okuheijeera,v,to breath heavily and produce sound esepcially after an asthma attack,,,,O
okuhema,v,to bare your teeth to someone with an intention of insulting that person,,Nibamugambira okureka kuhema abantu tarikuhurira.,They always tell him to stop insulting people by baring his teeth to them but he does not listen.,O
okuhemuka,v,to be embarassed,,,,O
okuhemura,v,to embarrass someone,,,,O
okuhemurana,v,to be a disgrace,,Ogu mukazi naahemurana.,This woman is a disgrace.,O
okuhena,v,to do something to offend someone indirectly,,,,O
okuhemba,v,to light a lamp or make a fire,,,,O
okuhemba,v,to take gifts to one's daughter when she gives birth for first time,,,,O
okuhemba,,to take food to the people who are busy in the garden cultivating,,,,O
okuhembeka,v,to tap water from the roof,,,,O
okuhemberera,v,to light fire for cows,,,,O
okuhembura,v,to harvest corn and leave the plant standing,,,,O
okuhemeema,v,,,,,O
okuhempura,v,to become stunted,,Waariisa abaana kubi nibahempura.,"If you do not feed your children well, they become stunted.",O
okuhenda,v,to break something,,Ku baaba nibazaana omupiira baamuhenda amaguru.,"While they were playing football, they broke his leg.",O
okuhenda-amaisho,v,to close the eyes of a dead person,,Ku yaafiire yaabura ow'okumuhenda amaisho.,He did not have anyone to close his eyes when he died.,O
okuhenda-endosho,v,to perform a ritual when a son-in-law has just lost a mother-in-law,,,,O
okuhendeka,v,to get broken,,Yaatunga butandu yaahendeka omukono.,He got an accident and broke his arm.,O
okuhendeka,v,to develop a fructure,,,,O
okuhendekyera,v,to work hard for someone,,Nyokoimwe naabahendekyera ngu mukaashoma kwonka imwe timukaafayo.,Your mother is toiling for you so that you can study but you do not care.,O
okuhendera,v,to finish or conclude a talk,,,,O
okuhenduura,v,to insult someone,,,,O
okuhenengyera,v,to disappear into something e.g. a forest,,,,O
okuhenengyera,v,to fall over something,,,,O
okuhenenkura,v,to go in a group,,,,O
okuhenentuka,v,to fall from a raised place,,,,O
okuhenentura,v,to expose something that is covered,,,,O
okuhenentwa,v,to search for what to eat,,,,O
okuhenga,v,to acknowledge that something has appeared or disappeared,,,,O
okuhengama,v,to bend to one side,,,,O
okuhengyeka,v,to tilt something at an angle,,,,O
okuhengyeneka,v,to trap something (e.g. water) into a container,,,,O
okuhenuura,v,to expose ones nakedness by pulling up a garment,,,,O
okuhenuza,v,to laugh excessively,,,,O
okuhenyera,v,,,,,O
okuhera,v,to scold someone,,Omukazi ogu naakunda kuhera mukaiba.,This woman likes scolding her co-wife.,O
okuhera,v,to be in the last position,,,,O
okuhereera,v,to be near or next to,,Birungi naakira kuhereera ekisika omu kibiina.,Birungi always sits near the wall in the classroom.,O
okuhereereza,v,to set a dog to someone or something e.g. when hunting,,,,O
okuhereeruka,v,to attend to someone ог something last,,,,O
okuhereka,v,to give animals to someone to look after them on your behalf,,,,O
okuherera,v,to be in the last position,,,,O
okuhererayo,v,to disappear in a place where someone has gone,,,,O
okuhererwa,v,to be close to someone or something,,,,O
okuherura,v,to reach out to everyone,,,,O
okuheruura,v,"to take back what had been given to you, e.g. cows, goats, etc",,,,O
okuheshura,v,to quarrel or exchange words of humiliation with someone as a way of expressing anger,,,,O
okuheshurana,v,to insult one another,,,,O
okuheza,v,to finish what one was doing,,Akaheza ebi yaabaire naakora.,He finished what he was doing.,O
okuheza,v,to ejaculate during sex,,,,O
okuheza,v,to happen or take place through out the entire period,,,,O
okuhiga,v,to stir up or urge someone to do something,,,,O
okuhigika,v,to support,,Koogire ngu tinaakuhigika waaba nooza kugwa ahansi.,If I had not supported you would have fallen down.,O
okuhigikira,v,to fix in a place,,,,O
okuhigima,v,to grunt,,,,O
okuhigiza,v,to make room for others,,,,O
okuhigiza,v,to step aside or give way,,,,O
okuhiguka,v,to fall over from the ground (e.g of a tree),,,,O
okuhigura,v,"to uproot or dig out of the ground (especially trees, house etc.)",,Ninyenda kuhigura ebiti eby'amahwa byona omu irisizo ryangye.,I want to uproot all the thorny trees in my farm.,O
okuhihira,v,to cry while looking at someone or something,,,,O
okuhiiga,v,to hunt,,,,O
okuhiiga,v,to harvest root tubers e.g. sweet potatoes,,,,O
okuhiigahiiga,v,to walk at a slow speed especially when one is very fat,,,,O
okuhiiganisa,v,to persecute,,,,O
okuhiija,v,to make a very deep and prolonged sound,,,,O
okuhiika,v,to threaten to rain,,,,O
okuhiira,v,to help to make it easier for someone to do something by offering them ones' services or financial or material aid,,,,O
okuhiirwa,v,to be lucky,,,,O
okuhiisa,v,to get ready for eating,,,,O
okuhiisa,v,to become ripe,,,,O
okuhiisa,v,to make local beer from ripe bananas and sorghum,,,,O
okuhika,v,to get something right,,,,O
okuhika,v,to arrive at a destination,,,,O
okuhikaaan,v,to reach a common understanding or something,,,,O
okuhikaaan,v,to be close to each other physically,,,,O
okuhikiirira,v,to be righteous,,,,O
okuhikiiriza,v,to fulfil,,,,O
okuhikirana,v,to join people in eating or drinking,,,,O
okuhikirwa,v,to be a victim,,,,O
okuhimba,v,"to compose, e.g songs, poetry, etc",,,,O
okuhimbana embaju,v,to be in a state where one is about to die,,,,O
okuhimbisa,v,to praise,,,,O
okuhimbuuka,v,to resurrect from the dead,,,,O
okuhimbuuza,v,to bring back to life,,,,O
okuhimbya,v,to encourage someone to do something,,,,O
okuhimbya,v,to to praise someone for doing something nicely,,,,O
okuhimintuka,v,to run fast,,,,O
okuhimira,v,to draw blood from a cow's neck: mostly done by people who drink or cook blood like the Bahima,,,,O
okuhinda,v,to put a baby between the legs,,,,O
okuhinduka,v,to change,,,,O
okuhinduka,v,to turn (e.g. a garment),,,,O
okuhinduka,v,to convert,,Ninyenda kuhinduka nkaza omu diini ya murigirwa wangye.,I want to convert to my fiance's religion.,O
okuhinduriza,v,to wear a garmet inside out,,,,O
okuhinduriza,v,to have a sudden change of weather with the appearance of rainy clouds,,,,O
okuhindurura,v,to change something and replace it with another,,,,O
okuhinga,v,to dig or cultivate,,,,O
okuhinga,v,to exchange something for another,,,,O
okuhingaana,v,to exchange,,,,O
okuhingikana,v,to over-lap,,Ebintu bikahingikana tihaabaho buteeka.,Things overlapped and there was no order.,O
okuhingisa,v,to have someone cultivate your land,,Eshambu ye akagihingisa abasibe.,He had his piece of land cultivated by prisoners.,O
okuhingisiriza,v,to assist people cultivate their garden,,,,O
okuhingiza,v,to register,,Ebiro by'okuhingiza abateezi b'oburuuru bihoire.,The days for registering voters are passed.,O
okuhingura,v,to pass someone or something,,,,O
okuhinguuka,v,to finish a day's work,,,,O
okuhinguura,v,to make people retire from the garden,,Enjura ekagwa yaabahinguura bukiri kare.,It rained and made them retire from the garden when it was still early.,O
okuhinguza,v,to make someone pass something,,,,O
okuhinintuka,v,to gush out,,,,O
okuhinisa,v,to erect,,,,O
okuhinjuka,v,to get chopped into two,,,,O
okuhinjura,v,to chop something into pieces,,,,O
okuhinyangwa,v,to be unable to walk or work normally,,,,O
okuhinyirira,v,to pull clothes up to the knees as one moves,,Akahinyirira ekiteeyi kye ngu kitajuba.,She pulled her dress up to the knees so that it does not get wet.,O
okuhinyoora,v,to turn someone's hand in a painful way,,,,O
okuhinza,v,"to raise up the dead spirits so that they can disturb the living, either by using herbs or moving around the grave uttering chants",,,,O
okuhirayo,v,"to set forth and go somewhere, never to return",,,,O
okuhirika,v,to push down something and roll it over,,,,O
okuhirima,v,to fall down,,,,O
okuhirimba,v,to develop scales on the skin usually on the feet as a result of one not bathing,,,,O
okuhirimba,v,to be half cooked,,,,O
okuhirimbura,v,to chop a log into pieces,,Akahirimbura empimbi z'okutekyesa.,He cut a log into pieces to be used as firewood.,O
okuhiringisa,v,to make something roll,,,,O
okuhiringita,v,to roll,,,,O
okuhiringitsa,v,,,,,O
okuhiringuza,v,to make something roll,,Naamushanga ariyo naagyezaho kuhiringuza enshaho y'amakara.,I found him trying to roll a sack of chacoal.,O
okuhirira,v,to set forth on activity enthusiatically,,,,O
