date,region,district,market_name,commodity,unit,price_type,price_ugx,price_usd
2024-02-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1920.0,0.5
2024-02-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,4000.0,1.03
2024-02-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2500.0,0.65
2024-02-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4000.0,1.03
2024-02-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,2000.0,0.52
2024-03-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,2900.0,0.75
2024-03-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,800.0,0.21
2024-03-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4500.0,1.16
2024-03-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,2000.0,0.52
2024-03-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,5214.0,1.34
2024-03-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,4143.0,1.07
2024-03-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,4500.0,1.16
2024-03-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1950.0,0.5
2024-03-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,4000.0,1.03
2024-03-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2500.0,0.64
2024-03-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4000.0,1.03
2024-03-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,1975.0,0.51
2024-04-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,3000.0,0.79
2024-04-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,800.0,0.21
2024-04-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4500.0,1.18
2024-04-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,2000.0,0.53
2024-04-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,5167.0,1.36
2024-04-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,4056.0,1.07
2024-04-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,4750.0,1.25
2024-04-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1925.0,0.51
2024-04-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,4000.0,1.05
2024-04-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2500.0,0.66
2024-04-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4000.0,1.05
2024-04-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,1825.0,0.48
2024-05-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,3800.0,1.01
2024-05-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1500.0,0.4
